address,available_from,balcony,closest_shop,contruction_year,dishwasher,dryer,elevator,floors,highway,kindergarten,parking_ext,parking_int,price,prim_school,public_transp,rooms,secon_school,sq_meters,tv,type,wash_m
,,,,,,,,,,,,,,,,,,,,,
Lindenbachstrasse 50 8006 Zürich,À convenir,True,,1910,,,True,1. étage,,,,,1'350'000,,,3.5,,66,True,Appartement,
8006 Zürich,À convenir,,,1969,,,,Non disponible,,,,,sur demande,,,Non disponible,,Non disponible,,Immeuble,
8006 Zürich,À convenir,,,Non disponible,,,,Non disponible,,,,,sur demande,,,Non disponible,,Non disponible,,Autre,
8005 Zürich,À convenir,,50,2005,,,True,4. étage,2000,600,True,,2'050'000,600,300,2.5,600,105,,Loft,
Huttenstrasse 8 8006 Zürich,01.06.2022,,206,1886,,,,3. étage,6200,267,,,1'250'000,267,978,3.5,935,69,,Attique,
address,available_from,balcony,closest_shop,contruction_year,dishwasher,dryer,elevator,floors,highway,kindergarten,parking_ext,parking_int,price,prim_school,public_transp,rooms,secon_school,sq_meters,tv,type,wash_m
Lindenbachstrasse 50 8006 Zürich,Data da convenire,True,,1910,,,,1. piano,,,,,1'350'000,,,3.5,,66,,Appartamento,
Huttenstrasse 8 8006 Zürich,01.06.2022,,206,1886,,,,3. étage,6200,267,,,1'250'000,267,978,3.5,935,69,,Attique,
Lindenbachstrasse 50 8006 Zürich,By arrangement,True,,1910,,,,1. floor,,,,,1350000,,,3.5,,66,True,Apartment,
Lindenbachstrasse 50 8006 Zürich,À convenir,True,,1910,,,True,1. étage,,,,,1'350'000,,,3.5,,66,True,Appartement,
8006 Zürich,Immédiate,,,1924,,,,Non disponible,,,True,True,9'690'000,,,9,,262,,Villa,
Lindenbachstrasse 50 8006 Zürich,nach Vereinbarung,,,1910,,,,1. Stock,,,,,1'350'000,,,3.5,,66,True,Wohnung,
Technoparkstrasse 10 8005 Zürich,À convenir,True,,2004,,,True,5. étage,,,,True,1'840'000,,,2.5,,84,,Appartement,
8005 Zürich,À convenir,,,2010,,,True,15. étage,,,,True,sur demande,,,Non disponible,,302,,Appartement,
Förrlibuckstrasse 185 8005 Zürich,Immédiate,,,Non disponible,,,,Non disponible,,,,,50'000,,,Non disponible,,Non disponible,,Garage souterrain,
9000 St. Gallen SG,À convenir,,,1994,,,,Non disponible,,,True,True,850'000,,,6.5,,123,,Maison mitoyenne,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}Christoph-Schnyder-Strasse 2b 6210 Sursee,01.10.2022,True,130,Non disponible,,,True,1. étage,,560,,True,2'650,,170,4.5,,126,True,Appartement,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}Christoph-Schnyder-Strasse 2b 6210 Sursee,01.09.2022,True,130,Non disponible,,,True,1. étage,,560,,True,2'750,,170,4.5,,128,True,Appartement,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}Strada dal castel 6921 Vico Morcote,By arrangement,True,,not available,,,,1. floor,,,,,1600,,,3.5,,not available,True,Apartment,
6992 Vernate,nach Vereinbarung,,,nicht verfügbar,,,,nicht verfügbar,,,,,1'300'000,,,nicht verfügbar,,nicht verfügbar,,Bauland,
1400 Yverdon-les-Bains,nach Vereinbarung,,,nicht verfügbar,,,,nicht verfügbar,,,,,auf Anfrage,,,nicht verfügbar,,nicht verfügbar,,Grundstück,
2000 Neuchâtel,nach Vereinbarung,,,nicht verfügbar,,,,nicht verfügbar,,,,,3'800'000,,,nicht verfügbar,,nicht verfügbar,,Gewerbegrundstück,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}6921 Vico Morcote TI,nach Vereinbarung,,,nicht verfügbar,,,,nicht verfügbar,,,,,290,,,nicht verfügbar,,nicht verfügbar,True,Ferienwohnung,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}1071 Chexbres VD,nach Vereinbarung,,,nicht verfügbar,,,,nicht verfügbar,,,,,2'044,,,nicht verfügbar,,nicht verfügbar,,Ferienwohnung,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}1659 Rougemont VD,nach Vereinbarung,,,nicht verfügbar,,,,nicht verfügbar,,,,,190,,,nicht verfügbar,,90,,Ferienwohnung,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}2300 La Chaux-de-Fonds NE,nach Vereinbarung,,,nicht verfügbar,,,,nicht verfügbar,,,,,193,,,nicht verfügbar,,nicht verfügbar,,Ferienwohnung,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}2943 Vendlincourt JU,nach Vereinbarung,,,nicht verfügbar,,,,nicht verfügbar,,,,,90,,,nicht verfügbar,,35,True,Ferienwohnung,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}2805 Soyhières JU,nach Vereinbarung,,,nicht verfügbar,,,,nicht verfügbar,,,,,64,,,nicht verfügbar,,nicht verfügbar,True,Ferienwohnung,
6921 Vico Morcote,By arrangement,True,,1970,,,,not available,,,,,3950000,,,10,,340,,Villa,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}1290 Versoix GE,nach Vereinbarung,,,nicht verfügbar,,,,nicht verfügbar,,,,,959,,,nicht verfügbar,,nicht verfügbar,True,Ferienwohnung,
6921 Vico Morcote,Data da convenire,True,,1970,,,,non disponibile,,,,,3'950'000,,,10,,340,,Villa,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}8048 Zürich ZH,nach Vereinbarung,,,nicht verfügbar,,,,nicht verfügbar,,,,,3'374,,,nicht verfügbar,,35,True,Ferienwohnung,
6921 Vico Morcote,Data da convenire,True,,2000,,,,non disponibile,,,,,Su richiesta,,,4.5,,184,,Casa,
6921 Vico Morcote,Data da convenire,,,2000,,,,non disponibile,,,,,1'870'000,,,5.5,,345,,Villa,
6922 Morcote TI,nach Vereinbarung,,,1980,,,,nicht verfügbar,,,,,9'500'000,,,16,,nicht verfügbar,,Ferienhaus,
6921 Vico Morcote,Data da convenire,True,,non disponibile,,,,non disponibile,,,,,Su richiesta,,,6.5,,452,,Villa,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}6826 Riva San Vitale,sofort,,,nicht verfügbar,,,,nicht verfügbar,,,,,1'700,,,4.5,,200,True,WG-Zimmer,
6921 Vico Morcote,By arrangement,True,,2000,,,,not available,,,,,On request,,,4.5,,184,,Single-family house,
6921 Vico Morcote,Immediata,True,,1965,,,,non disponibile,,,,,2'400'000,,,5.5,,170,,Villa,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}6833 Vacallo,01.01.2023,True,,nicht verfügbar,,,,2. Stock,,,,,996,,,1.5,,42,,Möblierte Wohnung,
6921 Vico Morcote,By arrangement,,,2000,,,,not available,,,,,1870000,,,5.5,,345,True,Villa,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}6943 Vezia,nach Vereinbarung,,,nicht verfügbar,,,,2. Stock,,,,,1'600,,,3,,70,,Wohnung,
6921 Vico Morcote,By arrangement,True,,not available,,,,not available,,,,,On request,,,6.5,,452,,Villa,
.css-1y5nuta{box-sizing:border-box;margin-right:0.8rem;cursor:inherit;}6833 Vacallo,nach Vereinbarung,,,nicht verfügbar,,,,nicht verfügbar,,,,,4'300,,,6.5,,330,,Haus,
6921 Vico Morcote,Immediately,True,,1965,,,,not available,,,,,2400000,,,5.5,,170,,Villa,
6921 Vico Morcote,nach Vereinbarung,,,1970,,,,nicht verfügbar,,,,,3'950'000,,,10,,340,,Villa,
6921 Vico Morcote,Data da convenire,,,non disponibile,,,,EG,,,,,3'900'000,,,4.5,,200,,Villa,
