address,available_from,balcony,closest_shop,contruction_year,dishwasher,dryer,elevator,floors,highway,kindergarten,parking_ext,parking_int,price,prim_school,public_transp,rooms,secon_school,sq_meters,tv,type,wash_m
1012 Lausanne,À convenir,,,1933,,,,Non disponible,,,True,True,sur demande,,,8.5,,337,,Villa,
1004 Lausanne,Immédiate,,,Non disponible,,,,Non disponible,,,,,sur demande,,,Non disponible,,Non disponible,,Immeuble,
La Conversion 1093 La Conversion,01.07.2022,,403,2001,,,,Non disponible,175,1091,True,,1'790'000,334,61,6,512,180,,Maison mitoyenne,
1026 Echandens,À convenir,,,Non disponible,True,,,Non disponible,,,,,1'950'000,,,6,,210,True,Maison jumelée,
1066 Epalinges,À convenir,,,1972,,,,Non disponible,,,True,True,sur demande,,,7.5,,604,,Maison,
Rue du Centre 19 1023 Crissier,À convenir,True,,1850,,,,Non disponible,,,True,True,sur demande,,,7.5,,250,,Ferme,
1095 Lutry,À convenir,,,2009,,,,1. étage,,,,True,2'250'000,,,3,,163,,Appartement,
1026 Echandens-Denges,À convenir,,,Non disponible,,,,Non disponible,,,,,1'990'000,,,Non disponible,,188,,Maison jumelée,
1023 Crissier,À convenir,True,,1850,True,,,Non disponible,,,True,,sur demande,,,7.5,,Non disponible,,Autre,
1053 Cugy VD,À convenir,,116,1987,,,,1. étage,,,,,450'000,308,,2,,48,,Appartement,
1018 Lausanne,À convenir,True,,1986,,,True,3. étage,,,True,,930'000,,,3.5,,84,,Attique,
1007 Lausanne,À convenir,True,,2007,,,True,Non disponible,,,,,1'050'000,,,Non disponible,,106,,Loft,
Belmont-sur-Lausanne 1092 Belmont-sur-Lausanne,01.12.2023,,335,2008,,,,Non disponible,949,254,True,True,1'850'000,254,45,4.5,1514,192,,Maison jumelée,
1302 Vufflens-la-Ville,À convenir,True,356,1995,,,,EG,,,True,True,sur demande,158,,4.5,,190,,Duplex,
1031 Mex VD,À convenir,True,2500,Non disponible,,,,Non disponible,4000,,True,True,3'190'000,,50,10.5,,314,,Villa,
1010 Lausanne,01.08.2022,,,2013,,,,EG,,,True,,1'495'000,,,4.5,,124,,Appartement,
1004 Lausanne,À convenir,,,2006,,,True,1. étage,,,True,True,1'090'000,,,4.5,,118,,Appartement,
1009 Pully,À convenir,True,,2016,,,,1. étage,,,,True,2'170'000,,,4.5,,144,,Appartement,
1091 Grandvaux,À convenir,,,1959,,,,Non disponible,,,,,1'370'000,,,5,,112,,Villa,
1007 Lausanne,À convenir,,,Non disponible,,,,Untergeschoss,,450,,,930,350,250,1,450,18,,Studio,
1004 Lausanne,À convenir,True,,1930,,,,2. étage,,,,,960'000,,,3.5,,77,,Appartement,
1004 Lausanne,À convenir,,,2006,,,True,1. étage,,,True,True,1'090'000,,,4.5,,110,,Appartement,
1008 Jouxtens-Mézery,À convenir,True,,2023,,,,EG,,,True,,980'000,,,4.5,,119,,Appartement,
1009 Pully,À convenir,True,,2016,,,,1. étage,,,,True,2'170'000,,,4.5,,127,,Appartement,
1004 Lausanne,Immédiate,,,1946,,,,EG,,,,,1'380'000,,,4,,Non disponible,,Appartement,
1091 Grandvaux,01.11.2022,,,2022,,,,EG,7000,,,,2'650'000,,300,4.5,,172,,Appartement,
1010 Lausanne,À convenir,True,,2017,,,,6. étage,,,,True,1'050'000,,,2.5,,68,,Attique,
1090 La Croix (Lutry),À convenir,,,1925,,,,Non disponible,,,,,7'200'000,,,11,,Non disponible,,Maison,
Villars-Ste-Croix 1029 Villars-Ste-Croix,À convenir,True,423,2006,,,,1. étage,1822,191,True,,1'060'000,191,143,4.5,2179,132,,Attique,
Romanel-sur-Lausanne 1032 Romanel-sur-Lausanne VD,Immédiate,True,436,1989,,,True,4. étage,2598,,,True,890'000,780,550,4.5,,124,,Attique,
1027 Lonay,À convenir,True,,2009,,,,EG,,,,,1'440'000,,,5.5,,161,,Appartement,
1004 Lausanne,À convenir,True,,Non disponible,,,,Non disponible,,,,,350'000,,,2.5,,60,,Maison,
1024 Ecublens VD,À convenir,True,,1980,,,,Non disponible,,,True,,3'490'000,,,12.5,,315,,Maison,
1033 Cheseaux,À convenir,True,,2011,,,,Non disponible,,,True,True,1'100'000,,,4.5,,108,,Attique,
1030 Bussigny,À convenir,True,100,1975,,,,Non disponible,1000,100,True,,1'090'000,100,100,4.5,100,130,,Maison jumelée,
1029 Villars-Ste-Croix,À convenir,,,1981,,,,Non disponible,,,True,True,1'590'000,,,6,,130,,Villa,
